,code,2020pointsR1,2020pointsR2,2020EOS
427,DK832,387.0,,387.0
428,DK843,340.0,340,340.0
429,DK844,305.0,305,305.0
430,DK845,304.0,304,304.0
431,DK846,391.0,361,361.0
432,DK850,317.0,317,317.0
433,DK860,532.0,532,503.0
434,DK861,302.0,302,302.0
435,DK862,301.0,,301.0
436,DK863,308.0,308,308.0
437,DK864,300.0,300,300.0
438,DK865,301.0,,301.0
439,DK870,403.0,401,397.0
440,DK872,336.0,,336.0
441,DK874,356.0,,356.0
442,DK876,321.0,,321.0
443,DK877,440.0,,440.0
444,DK880,328.0,,328.0
445,DK882,310.0,,310.0
446,DK883,358.0,321,300.0
447,DK884,,,
448,DK885,,,
449,DK886,301.0,,301.0
450,DK887,330.0,,330.0
451,DL701,,AQA,
452,DL821,212.0,212,212.0
453,DL822,229.0,229,235.0
454,DL823,235.0,,237.0
455,DL825,379.0,,379.0
456,DL826,855.0,,855.0
457,DL827,572.0,,572.0
458,DL828,506.0,,538.0
459,DL829,593.0,,593.0
460,DL830,939.0,,939.0
461,DL831,781.0,,781.0
462,DL832,920.0,,920.0
463,DL833,650.0,,667.0
464,DL834,990.0,,990.0
465,DL836,219.0,,219.0
466,DL837,201.0,,201.0
467,DL838,754.0,,754.0
468,DL839,683.0,683,683.0
469,DL840,228.0,228,228.0
470,DL841,276.0,,276.0
471,DN100,510.0,,510.0
472,DN120,407.0,,407.0
473,DN130,407.0,400,390.0
474,DN150,531.0,521,520.0
475,DN200,533.0,,533.0
476,DN201,510.0,,510.0
477,DN230,601.0,,601.0
478,DN240,440.0,,440.0
479,DN250,456.0,455,453.0
480,DN252,410.0,,410.0
481,DN253,418.0,,413.0
482,DN261,477.0,,476.0
483,DN262,531.0,,531.0
484,DN271,311.0,,311.0
485,DN272,297.0,282,282.0
486,DN300,589.0,,589.0
487,DN301,,,
488,DN310,478.0,477,466.0
489,DN400,737.0,736,736.0
490,DN401,,,58.0
491,DN410,534.0,532,531.0
492,DN411,,,
493,DN420,578.0,577,568.0
494,DN425,510.0,509,507.0
495,DN430,455.0,445,433.0
496,DN440,590.0,589,589.0
497,DN450,429.0,424,421.0
498,DN451,509.0,506,499.0
499,DN452,489.0,476,473.0
500,DN453,397.0,393,393.0
501,DN520,310.0,,310.0
502,DN530,340.0,336,326.0
503,DN541,303.0,,300.0
504,DN600,546.0,544,543.0
505,DN610,545.0,,544.0
506,DN650,521.0,521,521.0
507,DN660,517.0,511,510.0
508,DN670,613.0,,613.0
509,DN700,421.0,419,418.0
510,DN710,498.0,498,498.0
511,DN720,530.0,522,522.0
512,DN750,378.0,,377.0
513,DS602,,,198.0
514,DS603,,,423.0
515,DS701,,,299.0
516,DS702,,,290.0
517,GA160,163.0,163,163.0
518,GA170,250.0,,250.0
519,GA171,250.0,,250.0
520,GA172,277.0,,277.0
521,GA174,281.0,,282.0
522,GA175,278.0,,278.0
523,GA176,278.0,,278.0
524,GA181,309.0,,309.0
525,GA182,287.0,,287.0
526,GA183,296.0,,296.0
527,GA184,307.0,,307.0
528,GA185,293.0,,293.0
529,GA186,280.0,,280.0
530,GA187,281.0,,281.0
531,GA272,188.0,188,188.0
532,GA273,702.0,,702.0
533,GA274,251.0,,251.0
534,GA281,304.0,,304.0
535,GA282,220.0,,220.0
536,GA283,679.0,,679.0
537,GA284,303.0,,303.0
538,GA285,,,
539,GA360,172.0,172,172.0
540,GA361,193.0,,193.0
541,GA362,240.0,228,228.0
542,GA364,252.0,252,252.0
543,GA370,198.0,,198.0
544,GA376,206.0,187,187.0
545,GA377,172.0,,172.0
546,GA378,219.0,,219.0
547,GA380,242.0,,242.0
548,GA381,278.0,,278.0
549,GA382,206.0,,206.0
550,GA384,212.0,,212.0
551,GA470,244.0,243,243.0
552,GA471,200.0,,200.0
553,GA472,226.0,,226.0
554,GA473,241.0,,241.0
555,GA480,260.0,,260.0
556,GA482,288.0,,288.0
557,GA483,265.0,,265.0
558,GA484,290.0,,290.0
559,GA570,224.0,,224.0
560,GA580,300.0,,300.0
561,GA670,265.0,,265.0
562,GA673,260.0,,260.0
563,GA674,298.0,,298.0
564,GA675,298.0,,298.0
565,GA676,290.0,,290.0
566,GA677,235.0,,235.0
567,GA680,330.0,,330.0
568,GA681,293.0,,293.0
569,GA682,313.0,,313.0
570,GA683,309.0,,309.0
571,GA684,340.0,,340.0
572,GA685,309.0,,309.0
573,GA770,280.0,,280.0
574,GA771,280.0,,280.0
575,GA772,280.0,,280.0
576,GA773,299.0,,299.0
577,GA774,289.0,,289.0
578,GA775,260.0,,260.0
579,GA776,241.0,,241.0
580,GA777,281.0,,281.0
581,GA780,327.0,,327.0
582,GA781,337.0,,337.0
583,GA782,336.0,,336.0
584,GA783,363.0,,363.0
585,GA784,372.0,,372.0
586,GA785,473.0,,473.0
587,GA786,317.0,,317.0
588,GA787,270.0,,270.0
589,GA788,274.0,,282.0
590,GA789,287.0,,289.0
591,GA790,356.0,,356.0
592,GA791,368.0,,368.0
593,GA862,178.0,,178.0
594,GA864,214.0,204,204.0
595,GA870,182.0,171,171.0
596,GA871,190.0,,190.0
597,GA872,196.0,,196.0
598,GA879,244.0,,244.0
599,GA880,429.0,422,422.0
600,GA882,367.0,,367.0
601,GA885,252.0,,252.0
602,GA887,244.0,,244.0
603,GA889,266.0,,266.0
604,GA890,270.0,,270.0
605,GA891,244.0,,244.0
606,GA974,214.0,,214.0
607,GA980,377.0,,377.0
608,GA984,284.0,,284.0
609,GB001,,,115.0
610,GC200,252.0,252,252.0
611,GC201,303.0,303,303.0
612,GC230,335.0,325,325.0
613,GC250,,,
614,GC300,429.0,,390.0
615,GC301,253.0,253,253.0
616,GC302,,,
617,GC305,253.0,253,253.0
618,GC306,253.0,253,253.0
619,GC335,217.0,195,195.0
620,GC400,248.0,248,248.0
621,GC401,240.0,227,202.0
622,GC402,264.0,236,218.0
623,GC403,244.0,228,228.0
624,GC407,280.0,280,218.0
625,GC410,145.0,,145.0
626,GC411,135.0,135,135.0
627,GC430,252.0,220,220.0
628,GC435,,AQA,96.0
629,GC450,254.0,254,254.0
630,GC460,,,
631,GC462,,,
632,GC465,,,
633,GC466,,AQA,
634,GC470,169.0,169,169.0
635,GC475,150.0,150,150.0
636,GC489,254.0,,254.0
637,GC490,117.0,117,117.0
638,GC494,337.0,217,217.0
639,GC495,129.0,129,129.0
640,GY101,300.0,,300.0
641,GY104,523.0,520,519.0
642,GY105,301.0,,301.0
643,GY107,409.0,,409.0
644,GY109,403.0,,403.0
645,GY110,357.0,,357.0
646,GY111,330.0,,330.0
647,GY112,321.0,,321.0
648,GY113,368.0,,368.0
649,GY115,387.0,,387.0
650,GY118,451.0,,451.0
651,GY119,400.0,,400.0
652,GY120,350.0,,350.0
653,GY121,356.0,,356.0
654,GY122,361.0,,361.0
655,GY123,358.0,,358.0
656,GY124,454.0,,454.0
657,GY125,328.0,,328.0
658,GY126,391.0,,391.0
659,GY127,401.0,,401.0
660,GY128,352.0,,352.0
661,GY129,420.0,,420.0
662,GY130,408.0,,408.0
663,GY131,360.0,,360.0
664,GY132,407.0,,407.0
665,GY133,422.0,,422.0
666,GY134,410.0,,410.0
667,GY201,433.0,,433.0
668,GY202,484.0,,484.0
669,GY203,489.0,,489.0
670,GY204,495.0,,495.0
671,GY206,465.0,,465.0
672,GY207,509.0,,509.0
673,GY208,473.0,,473.0
674,GY209,530.0,,530.0
675,GY250,487.0,,487.0
676,GY251,499.0,,499.0
677,GY252,520.0,,520.0
678,GY253,509.0,,509.0
679,GY254,530.0,,530.0
680,GY261,497.0,,497.0
681,GY262,681.0,,681.0
682,GY301,433.0,432,432.0
683,GY303,556.0,,556.0
684,GY304,465.0,,465.0
685,GY308,408.0,,408.0
686,GY309,487.0,,487.0
687,GY310,419.0,,419.0
688,GY313,412.0,,412.0
689,GY314,403.0,,403.0
690,GY318,509.0,,509.0
691,GY319,476.0,,476.0
692,GY320,402.0,,402.0
693,GY321,508.0,,508.0
694,GY350,403.0,,403.0
695,GY401,465.0,,465.0
696,GY402,455.0,,455.0
697,GY405,454.0,,454.0
698,GY406,510.0,,510.0
699,GY408,509.0,,509.0
700,GY410,403.0,,403.0
701,GY413,502.0,,502.0
702,GY414,405.0,,405.0
703,GY501,728.0,,728.0
704,GY502,555.0,,555.0
705,GY503,543.0,,543.0
706,GY504,443.0,,443.0
707,GY515,476.0,473,473.0
708,GY516,440.0,,440.0
709,GY517,495.0,,495.0
710,ID001,203.0,,203.0
711,ID002,294.0,,294.0
712,LC110,740.0,,740.0
713,LC114,880.0,,880.0
714,LC115,942.0,,942.0
715,LC220,262.0,,262.0
716,LC221,241.0,,251.0
717,LC222,270.0,,270.0
718,LC223,307.0,,307.0
719,LC224,300.0,,300.0
720,LC225,298.0,,298.0
721,LC226,234.0,234,234.0
722,LC228,205.0,,205.0
723,LC230,217.0,,217.0
724,LC233,272.0,,272.0
725,LC234,225.0,,225.0
726,LC235,205.0,,205.0
727,LC236,262.0,260,260.0
728,LC239,307.0,,309.0
729,LC241,255.0,,255.0
730,LC242,282.0,,282.0
731,LC243,294.0,,298.0
732,LC248,288.0,,288.0
733,LC251,206.0,,206.0
734,LC252,270.0,,270.0
735,LC257,264.0,,264.0
736,LC260,326.0,,326.0
737,LC263,294.0,,294.0
738,LC265,413.0,,413.0
739,LC266,262.0,,262.0
740,LC267,329.0,,329.0
741,LC268,289.0,,289.0
742,LC270,307.0,,307.0
743,LC271,261.0,,261.0
744,LC275,298.0,,298.0
745,LC276,297.0,,297.0
746,LC277,232.0,,232.0
747,LC278,280.0,,280.0
748,LC279,214.0,,226.0
749,LC281,208.0,,208.0
750,LC283,227.0,,233.0
751,LC284,200.0,,200.0
752,LC285,272.0,,272.0
753,LC286,264.0,,264.0
754,LC288,347.0,346,346.0
755,LC289,291.0,,291.0
756,LC290,188.0,,188.0
757,LC292,367.0,,367.0
758,LC293,307.0,,307.0
759,LC294,279.0,,279.0
760,LC295,252.0,,252.0
761,LC297,235.0,,235.0
762,LC320,346.0,,346.0
763,LC330,297.0,,297.0
764,LC336,207.0,,222.0
765,LC340,350.0,,350.0
766,LC362,413.0,,413.0
767,LC371,309.0,,309.0
768,LC372,325.0,,325.0
769,LC374,318.0,,318.0
770,LC375,317.0,,317.0
771,LC376,318.0,,318.0
772,LC380,303.0,298,298.0
773,LC392,236.0,,236.0
774,LC393,236.0,,236.0
775,LC398,163.0,,163.0
776,LC399,148.0,,148.0
777,LC401,297.0,,297.0
778,LC402,225.0,,225.0
779,LC408,279.0,,279.0
780,LC414,236.0,,236.0
781,LC415,197.0,,197.0
782,LC416,274.0,,274.0
783,LC418,270.0,,270.0
784,LC422,298.0,,298.0
785,LC423,157.0,,157.0
786,LC425,278.0,,278.0
787,LC428,278.0,,278.0
788,LC432,144.0,,144.0
789,LC434,297.0,,297.0
790,LC502,852.0,,852.0
791,LC504,192.0,,192.0
792,LC517,234.0,,234.0
793,LC518,808.0,,808.0
794,LC602,260.0,,260.0
795,LC603,147.0,,174.0
796,LC605,195.0,,195.0
797,LC612,320.0,,320.0
798,LC613,242.0,,242.0
799,LM002,348.0,,348.0
800,LM020,465.0,,465.0
801,LM026,303.0,,303.0
802,LM028,418.0,,418.0
803,LM029,490.0,,490.0
804,LM038,500.0,,500.0
805,LM039,402.0,,402.0
806,LM040,369.0,,369.0
807,LM044,442.0,,442.0
808,LM050,431.0,,431.0
809,LM056,528.0,,528.0
810,LM058,403.0,,403.0
811,LM063,379.0,,379.0
812,LM068,421.0,,421.0
813,LM076,408.0,,408.0
814,LM077,520.0,,520.0
815,LM082,398.0,,398.0
816,LM089,474.0,,474.0
817,LM090,532.0,,532.0
818,LM091,517.0,,517.0
819,LM092,507.0,,507.0
820,LM093,339.0,,339.0
821,LM094,440.0,,440.0
822,LM095,367.0,,367.0
823,LM096,405.0,,405.0
824,LM097,402.0,,402.0
825,LM099,498.0,,498.0
826,LM100,589.0,,589.0
827,LM101,55.0,,55.0
828,LM102,509.0,,509.0
829,LM103,392.0,,392.0
830,LM115,454.0,,454.0
831,LM116,476.0,,476.0
832,LM118,403.0,,403.0
833,LM121,351.0,,351.0
834,LM122,327.0,,327.0
835,LM123,441.0,,441.0
836,LM124,437.0,,437.0
837,LM125,404.0,,404.0
838,LM150,475.0,,475.0
839,LM152,419.0,,419.0
840,LM154,420.0,,440.0
841,LM156,469.0,,469.0
842,LM180,337.0,,328.0
843,LY107,161.0,161,161.0
844,LY108,309.0,,309.0
845,LY118,290.0,,290.0
846,LY206,149.0,148,148.0
847,LY207,160.0,160,160.0
848,LY208,300.0,,300.0
849,LY228,300.0,,300.0
850,LY317,229.0,224,224.0
851,LY327,170.0,170,170.0
852,LY408,320.0,,320.0
853,LY427,172.0,170,172.0
854,LY437,198.0,223,198.0
855,LY447,266.0,279,266.0
856,LY457,179.0,204,189.0
857,LY507,181.0,181,181.0
858,LY508,276.0,,276.0
859,LY518,301.0,,301.0
860,LY527,165.0,163,163.0
861,LY528,271.0,,271.0
862,LY607,160.0,,160.0
863,LY608,300.0,,300.0
864,LY617,180.0,180,180.0
865,LY618,312.0,,312.0
866,LY707,204.0,,204.0
867,LY708,306.0,,306.0
868,LY717,164.0,160,160.0
869,LY737,169.0,169,169.0
870,LY748,317.0,317,317.0
871,LY806,232.0,,232.0
872,LY816,233.0,223,223.0
873,LY817,248.0,,248.0
874,LY818,303.0,,303.0
875,LY826,456.0,401,339.0
876,LY828,307.0,,307.0
877,LY836,473.0,408,278.0
878,LY837,194.0,194,194.0
879,LY846,316.0,316,291.0
880,LY847,367.0,367,367.0
881,LY867,163.0,163,163.0
882,LY877,202.0,181,181.0
883,LY906,205.0,161,161.0
884,LY908,400.0,,400.0
885,LY916,181.0,,181.0
886,LY918,357.0,,357.0
887,LY928,326.0,,328.0
888,LY968,303.0,,303.0
889,LY978,280.0,,280.0
890,MH001,507.0,,507.0
891,MH002,,,
892,MH101,318.0,,318.0
893,MH103,,,
894,MH106,521.0,,521.0
895,MH107,346.0,,346.0
896,MH109,316.0,,316.0
897,MH116,,,
898,MH201,360.0,,360.0
899,MH202,455.0,,455.0
900,MH203,430.0,,430.0
901,MH204,422.0,,422.0
902,MH206,510.0,,510.0
903,MH207,445.0,,445.0
904,MH208,498.0,,498.0
905,MH209,498.0,,498.0
906,MH210,487.0,,487.0
907,MH212,422.0,,422.0
908,MH304,333.0,333,333.0
909,MH305,357.0,,357.0
910,MH306,361.0,,361.0
911,MH401,357.0,,357.0
912,MH402,476.0,,476.0
913,MH403,422.0,,422.0
914,MH404,430.0,,430.0
915,MH405,357.0,,357.0
916,MH407,420.0,,420.0
917,MH411,371.0,,371.0
918,MH501,473.0,,473.0
919,MH502,451.0,,451.0
920,MH601,352.0,,352.0
921,MH602,351.0,,351.0
922,MH603,532.0,,532.0
923,MH801,327.0,,327.0
924,MH802,,#,
925,MH803,,#,
926,MI001,375.0,,390.0
927,MI002,300.0,281,281.0
928,MI004,577.0,,577.0
929,MI005,495.0,,495.0
930,MI006,456.0,,462.0
931,MI007,357.0,,357.0
